sowhy	s'oUhi
sowrong	s'oUr0N
sowwy	s'oUwi
soy	s'OI
soz	s'0z
spa	sp'A:
spaam	sp'A:m
space	sp'eIs
spacer	sp'eIs3
spacific	spas'IfIk
spaghet	sp'aghI2t
spaghetti	spa#g'Eti
spain	sp'eIn
spainquot	sp'eInkw0t
spam	sp'am
spamand	sp'amaand
spamaposd	sp'ama#p,0sd
spambut	sp'ambVt
spamd	sp'aamd,i:
spamed	sp'eImd
spamin	sp'amIn
spamledge	sp'amlEdZ
spamlol	sp'aml0l
spamm	sp'am
spammed	sp'amd
spammer	sp'am3
spammeri	sp'am3r,i
spammers	sp'am3z
spammin	sp'amIn
spamming	sp'amIN
spamnation	spamn'eIS@n
spamquestions	sp'amkwEstS@nz
spams	sp'amz
spamspam	sp'amspam
spamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspamspam	sp'amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amspa#msp,amsp
spamzoo	sp'amzu:
span	sp'an
spanish	sp'anI2S
spank	sp'aNk
spanked	sp'aNkt
spanking	sp'aNkIN
spankings	sp'aNkINz
spanquot	sp'ankw0t
spare	sp'e@
spark	sp'A@k
sparked	sp'A@kt
sparkle	sp'A@k@L
sparkles	sp'A@k@Lz
sparks	sp'A@ks
spashley	sp'aSlI
spaz	sp'az
speak	sp'i:k
speakblurt	sp'i:kbl3:t
speaking	sp'i:kIN
speaks	sp'i:ks
spear	sp'i@3
spears	sp'i@3z
specfic	sp'EkfIk
special	sp'ES@L
specialised	sp'ES@L,aIzd
speciality	sp,ESI;'alI2ti
specially	sp'ES@L,i
species	sp'i:si:z
specifially	spEs'IfI2;@li
specific	sp@s'IfIk
specifically	sp@s'IfIkli
specify	sp'EsI2f,aI
specs	sp'Eks
spectacular	spEkt'akjUl3
spectator	spEkt'eIt3
speech	sp'i:tS
speeches	sp'i:tSI2z
speechless	sp'i:tSl@s
speed	sp'i:d
speeding	sp'i:dIN
speedometers	spi:d'0mIt3z
speedquot	sp'i:dkw0t
speel	sp'i:l
speen	sp'i:n
spell	sp'El
spelled	sp'Eld
spellin	sp'ElIn
spelling	sp'ElIN
spells	sp'Elz
spelt	sp'Elt
spencer	sp'Ens3
spencerpratt	sp'Ens3pr,at
spency	sp'Ensi
spend	sp'End
spending	sp'EndIN
spent	sp'Ent
sperm	sp'3:m
sphere	sf'i@3
spice	sp'aIs
spicier	sp'aIsI;3
spicy	sp'aIsi
spicyr	sp'IsIr
spider	sp'aId3
spiderman	sp'aId3m@n
spidermans	sp'aId3m@nz
spiders	sp'aId3z
spiderss	sp'aId3s
spiecial	sp'aIS@L
spies	sp'aIz
spigler	sp'Igl3
spiit	sp'I;It
spill	sp'Il
spilled	sp'Ild
spin	sp'In
spinal	sp'aIn@L
sping	sp'IN
spinning	sp'InIN
spirit	sp'IrIt
spirits	sp'IrIts
spiritual	sp'IrItS,u:@L
spiritually	sp'IrItS,u:@Li
spiro	sp'IroU
spirted	sp'3:tI2d
spirts	sp'3:ts
spit	sp'It
spits	sp'Its
splainin	spl'eInIn
splash	spl'aS
splatter	spl'at3
splice	spl'aIs
split	spl'It
splitt	spl'It
splle	,Esp'i:l
spoiled	sp'OIld
spoke	sp'oUk
spoken	sp'oUk@n
spolit	sp'0lIt
sponaneity	sp0n'eInI2ti
spongebob	sp'VndZI2b,0b
spontaeity	sp0nt'i:;I2ti
spontaneity	sp0nt'eInI2ti
spontaneous	sp0nt'eIni@s
spontaneousness	sp0nt'eIni@sn@s
spoon	sp'u:n
spoonerism	sp'u:n3r-,Iz@m
spoons	sp'u:nz
spork	sp'o@k
sport	sp'o@t
sporting	sp'o@tIN
sports	sp'o@ts
sportt	sp'o@t
spose	sp'oUz
spot	sp'0t
spotlight	sp'0tlaIt
spotted	sp'0tI2d
spouse	sp'aUs
sprawl	spr'O:l
spray	spr'eI
sprayed	spr'eId
sprays	spr'eIz
spread	spr'Ed
spreading	spr'EdIN
spreads	spr'Edz
spree	spr'i:
spring	spr'IN
springs	spr'INz
springss	spr'INs
sprite	spr'aIt
sprongbob	spr'0Nb0b
spunky	sp'VNki
spurts	sp'3:ts
spy	sp'aI
spya	sp'aI@
spying	sp'aIIN
squad	skw'0d
square	skw'e@
squares	skw'e@z
squashed	skw'0St
squatter	skw'0t3
squeaky	skw'i:ki
squeamish	skw'i:mI2S
squeezed	skw'i:zd
squerr	skw'e@
squirell	skw'aI@l
squirm	skw'3:m
squirrel	skw'Ir@L
squirt	skw'3:t
srip	sr'Ip
srouts	'Esr'aUts
srry	,Es,A@r-,A@w'aI
srt	,Es,A@t'i:
sry	,Es,A@w'aI
ss	,Es'Es
ssaam	'Ess'A:m
ssms	,Es,Es,Em'Es
ssome	'Ess'Vm
ssoo	'Ess'u:
ssppam	,Es,Esp'i:p'am
st	s'@nt
stab	st'ab
stability	st@b'IlI2ti
stable	st'eIb@L
stack	st'ak
stadium	st'eIdi@m
staff	st'aaf
stag	st'ag
stage	st'eIdZ
stages	st'eIdZI2z
stagnet	st'agnI2t
stain	st'eIn
stained	st'eInd
stains	st'eInz
stairs	st'e@z
stake	st'eIk
stale	st'eIl
stalk	st'O:k
stalked	st'O:kt
stalker	st'O:k3
stalkerlol	st'O:k3l,0l
stalkerr	st'O:ke@
stalkers	st'O:k3z
stalking	st'O:kIN
stall	st'O:l
stamach	st'amatS
stamp	st'amp
stamps	st'amps
stampsu	st'ampsu:
stan	st'an
stance	st'aans
stand	st'and
standard	st'and3d
standards	st'and3dz
standern	st'and3n
standing	st'andIN
stands	st'andz
stanford	st'anf3d
stange	st'andZ
stank	st'aNk
stapled	st'eIp@Ld
stapler	st'eIpl3
star	st'A@
starbuckks	st'A@bVkks
starbucks	st'A@bVks
starburst	st'A@b3:st
stare	st'e@
stareing	st'e@r-IN
starequot	st'e@kw0t
staring	st'e@r-I2N
starring	st'A@r-I2N
starry	st'A:rI
stars	st'A@z
starship	st'A@SIp
starstruckk	st'A@strVkk
start	st'A@t
started	st'A@tI2d
startedquot	st'A@tI2dkw,0t
starter	st'A@t3
starting	st'A@tIN
starts	st'A@ts
starve	st'A@v
starving	st'A@vIN
starwars	st'A@wO@z
state	st'eIt
statecountryaposs	st'eItk@ntrI;,ap0s
statement	st'eItm@nt
states	st'eIts
statesquot	st'eItskw0t
static	st'atIk
stating	st'eItIN
station	st'eIS@n
stations	st'eIS@nz
statues	st'atSu:z
status	st'eIt@s
statuses	st'eIt@sI2z
stay	st'eI
stayed	st'eId
staying	st'eIIN
stays	st'eIz
stayy	st'eIi
std	,Est,i:d'i:
stds	,Est,i:d,i:;'Es
steady	st'Edi
steak	st'eIk
steal	st'i:l
stealiing	st'i:li;IN
stealing	st'i:lIN
steam	st'i:m
steamed	st'i:md
steel	st'i:l
steep	st'i:p
steepest	st'i:p@st
steitz	st'eIts
stem	st'Em
stemmed	st'Emd
step	st'Ep
stepdad	st'Epdad
stephan	st'Ef@n
stephanieey	st'Efa#n,I;I
stepparent	st'Epe@r@nt
stepped	st'Ept
stepping	st'EpIN
steps	st'Eps
stereo	st'ErI2;,oU
stereotype	st'ErI2;,oUtaIp
stereotyped	st'ErI2;,oUtaIpd
stereotypingr	st'ErI2;,oUtIp,INg3
sterilize	st'Er@L,aIz
steveo	st'i:vI2;,oU
stevie	st'i:vi
steviee	st'EvI
stew	stj'u:
stewart	stj'u:3t
stfu	,Est,i:;,Efj'u:
sthe	'EsD
stiches	st'ItSI2z
stick	st'Ik
sticker	st'Ik3
stickers	st'Ik3z
stickin	st'IkIn
sticking	st'IkIN
sticks	st'Iks
stickshift	st'IkSIft
stiick	st'I;Ik
stil	st'Il
still	st'Il
stillan	st'Il@n
stillr	st'Il3
stinging	st'INI2N
stink	st'INk
stinksquot	st'INkskw0t
stippers	st'Ip3z
stir	st'3:
stitch	st'ItS
stitches	st'ItSI2z
stives	st'aIvz
stnk	,Est,i:;,Enk'eI
stock	st'0k
stoked	st'oUkt
stole	st'oUl
stolen	st'oUl@n
stolies	st'oUliz
stomach	st'Vm@k
stomachbody	st'Vm@kb,0di
stone	st'oUn
stoned	st'oUnd
stonedquot	st'oUndkw0t
stonehenge	st,oUnh'EndZ
stones	st'oUnz
stonger	st'0Ng3
stood	st'Ud
stooges	st'u:dZI2z
stoopid	st'u:pId
stop	st'0p
stoped	st'oUpt
stopid	st'0pId
stopp	st'0p
stopped	st'0pt
stoppedits	st'0pI2d,Its
stopping	st'0pIN
stopr	st'0p3
stops	st'0ps
storage	st'o@rI2dZ
store	st'o@
storebarcorner	st'o@bA@k,O@n3
storebut	st'o@bVt
storee	st'o@ri:
stores	st'o@z
stories	st'o@rIz
storm	st'o@m
storms	st'o@mz
story	st'o@rI
storyline	st'o@rIl,aIn
stouffer	st'u:f3
stow	st'oU
stpatricks	,Est'i:p'atrIks
str	,Est,i:;'A@
straight	str'eIt
straighten	str'eIt@n
straightened	str'eIt@nd
straightners	str'eItn3z
strain	str'eIn
strait	str'eIt
stranded	str'andI2d
strange	str'eIndZ
stranger	str'eIndZ3
strangerr	str'eIndZe@
strangerrs	str'eIndZ3z
strangers	str'eIndZ3z
strangersquot	str'eIndZ3skw,0t
stranges	str'eIndZI2z
strangest	str'eIndZ@st
strangle	str'aNg@L
strapped	str'apt
strapping	str'apIN
straps	str'aps
strat	str'at
stratched	str'atSt
straw	str'O:
strawberries	str'O:b3rIz
strawberry	str'O:b3ri
strawberrybanana	str,O:b3r,Iba#n'A:n@
streaking	str'i:kIN
stream	str'i:m
street	str'i:t
streets	str'i:ts
streetsr	str'i:ts3
streetz	str'i:ts
strength	str'ENT
stress	str'Es
stressed	str'Est
stressful	str'Esf@L
stressing	str'EsIN
stretch	str'EtS
strewn	str'u:n
strezzful	str'Ezf@L
strickland	str'Ikl@nd
strict	str'Ikt
stricter	str'Ikt3
strictly	str'Iktli
strike	str'aIk
strikes	str'aIks
string	str'IN
strip	str'Ip
stripclub	str'IpklVb
striped	str'aIpt
stripes	str'aIps
stripped	str'Ipt
stripper	str'Ip3
strippers	str'Ip3z
stripping	str'IpIN
strive	str'aIv
stroke	str'oUk
stroker	str'oUk3
stroking	str'oUkIN
strong	str'0N
stronger	str'0Ng3
strongest	str'0Ng@st
strongly	str'0Nli
strongr	str'0Ng3
strop	str'0p
struck	str'Vk
structure	str'VktS3
struggle	str'Vg@L
struggling	str'VglIN
stub	st'Vb
stubborn	st'Vb3n
stuck	st'Vk
stuckthe	st'VkD
stud	st'Vd
studd	st'Vd
student	stj'u:d@nt
studentemployee	stj'u:d@nt,EmplOI,i:
students	stj'u:d@nts
studied	st'VdId
studies	st'VdIz
studio	stj'u:dI2;,oU
studs	st'Vdz
study	st'Vdi
studying	st'VdI;IN
stuf	st'Vf
stuff	st'Vf
stuffand	st'Vfand
stuffed	st'Vft
stuffhahhahahahar	st'VfhA:h,aha#h,ahA@
stufflolyou	st'Vfl@lI;,u:
stuffposingasmeatlol	st'VfpoUs,INga#zm,i:tl0l
stuffquot	st'Vfkw0t
stuffr	st'Vf3
stuffwhats	st'Vfw0ts
stuffy	st'VfI
stuipd	stj'u:Ipd
stumble	st'Vmb@L
stumperr	st'Vmpe@
stumps	st'Vmps
stung	st'VN
stunna	st'Vn@
stunned	st'Vnd
stunner	st'Vn3
stunt	st'Vnt
stupid	stj'u:pId
stupidand	stj'u:pId,and
stupidd	stj'u:pId
stupidest	stj'u:pId@st
stupidexample	stj'u:pId,Eksaamp@L
stupidity	stju:p'IdI2ti
stupidmessed	stj'u:pIdm,Est
stupidness	stj'u:pIdn@s
stupids	stj'u:pIdz
sturdy	st'3:di
stuuff	st'VVf
stuupid	st'Vju:p,Id
stweie	'Estw'eI
style	st'aIl
styled	st'aIld
styles	st'aIlz
styling	st'aIlIN
stylish	st'aIlI2S
suave	sw'A:v
sub	s'Vb
subaru	s'u:b3r-,u:
subject	s'VbdZEkt
subjectbefore	s'VbdZI2ktb,Efo@
subjective	sVbdZ'EktIv
subjects	s'VbdZEkts
submit	s@bm'It
submitting	s@bm'ItIN
subplots	s'Vbpl0ts
subs	s'Vbz
subscribe	s@bskr'aIb
subscription	sVbskr'IpS@n
subscriptions	sVbskr'IpS@nz
subsription	sVbsr'IpS@n
substance	s'Vbst@ns
substitute	s'VbstItj,u:t
subway	s'VbweI
succeed	s@ks'i:d
succeeded	s@ks'i:dI2d
success	s@ks'Es
successapos	s@ksI2s'A:poUz
successful	s@ks'Esf@L
successfully	s@ks'Esf@lI
succkkss	s'Vkks
succkkzs	s'Vkkzz
suceed	s'u:si:d
suceeded	s'u:si:dI2d
sucessful	s'u:sEsf@L
such	s'VtS
suck	s'Vk
suckd	s'Vkd
sucked	s'Vkt
sucker	s'Vk3
suckers	s'Vk3z
suckin	s'VkIn
suckk	s'Vkk
suckkaa	s'VkkA:
suckkss	s'Vkks
sucks	s'Vks
sucky	s'Vki
sudden	s'Vd@n
suddenly	s'Vd@nli
sudokus	s'u:doUk@s
sue	s'u:
sued	s'u:d
suess	s'u:s
sueyr	s'u:@
suffer	s'Vf3
sufferbut	s'Vf3b,Vt
sufferd	s'Vf3:d
suffering	s'Vf3r-IN
sufficient	s@f'IS@nt
suffocating	s'Vf@k,eItIN
sugar	S'Ug3
sugars	S'Ug3z
sugary	S'Ug3r-i
suger	s'u:g3
sugest	s'u:dZ@st
suggest	s@dZ'Est
suggestion	s@dZ'EstS@n
suggestions	s@dZ'EstS@nz
suhhp	s'u:hp
suicida	s'u:Is,Id@
suicide	s'u:Is,aId
suing	s'u:IN
suit	s'u:t
suitcase	s'u:tkeIs
suitcases	s'u:tkeIsI2z
suk	s'Vk
suki	s'u:ki
sukka	s'Vk@
sukkahs	s'Vk@z
suks	s'Vks
sum	s'Vm
suminapos	s,u:mIn'A:poUz
summer	s'Vm3
summers	s'Vm3z
summin	s'VmIn
summink	s'VmINk
summon	s'Vm@n
summut	s'VmVt
sumo	s'u:moU
sumone	s'u:moUn
sumthin	s'VmTIn
sumthing	s'VmTIN
sumtimes	s'VmtaImz
sumwea	s'Vmwi@
sumwhere	s'Vmwe@
sun	s'Vn
sunbathing	s'VnbeIDIN
sunburn	s'Vnb3:n
sunburns	s'Vnb3:nz
sunday	s'VndeI
sundaymall	s'VndeIm,O:l
sundays	s'VndeIz
sunfire	s'VnfaI@
sunflower	s'VnflaU3
sunglasses	s'VNglaasI2z
sunlight	s'VnlaIt
sunny	s'Vni
sunrise	s'VnraIz
sunscreen	s'Vnskri:n
sunset	s'VnsEt
sunshine	s'VnSaIn
sunshiner	s'VnSIn3
sup	s'Vp
super	s'u:p3
superbad	s'u:p3b,ad
superglue	s'u:p3gl,u:
superglues	s'u:p3gl,u:z
superhero	s'u:p3h,i@roU
superheros	s'u:p3h,i@roUz
superman	s'u:p3m,an
superpower	s'u:p3p,aU3
superstar	s'u:p3st,A@
superstitions	s'u:p3st'IS@nz
superstitious	s,u:p3st'IS@s
superstitiousr	s,u:p3st'IS@s3
superwoman	s'u:p3w,Um@n
supkev	s'VpkEv
supp	s'Vp
supper	s'Vp3
supperr	s'Vpe@
supplies	s@pl'aIz
supply	s@pl'aI
supplys	s@pl'aIz
support	s@p'o@t
supported	s@p'o@tI2d
supporting	s@p'o@tIN
supportive	s@p'o@tIv
supportr	s@p'o@t3
suppose	sVp'oUz
supposed	sVp'oUzd
supposedly	sVp'oUzIdlI
supre	su:pr'E
suprise	sVpr'aIz
suprised	sVpr'aIzd
suprises	sVpr'aIzI2z
sur	s'3:
sure	S'U@
suree	S'U@
surex	S'U@ks
surf	s'3:f
surface	s'3:fIs
surfed	s'3:ft
surgeon	s'3:dZ@n
surgery	s'3:dZ@ri
surgerys	s'3:dZ@riz
surname	s'3:neIm
surpass	s3p'aas
surpose	s'3:poUz
surprise	s3pr'aIz
surprised	s3pr'aIzd
surprises	s3pr'aIzI2z
surprising	s3pr'aIzIN
surree	s3r'i:
surrogate	s'Vr@g,eIt
surrounded	s3r'aUndI2d
surrounding	s3r'aUndIN
surroundings	s3r'aUndINz
surrounds	s3r'aUndz
survey	s'3:veI
survive	s3v'aIv
survived	s3v'aIvd
surviving	s3v'aIvIN
sushi	s'u:Si
suspect	s'VspEkt
suspected	s@sp'EktI2d
suspects	s'VspEkts
suspended	s@sp'EndI2d
suspense	s@sp'Ens
sustainable	s@st'eIn@b@L
suu	s'Vu:
suur	s'V3:
suure	s'VjU@
sux	s'Vks
suxed	s'Vkst
suxk	s'Vksk
suxx	s'Vks
suxxed	s'Vkst
suxxes	s'VksI2z
suz	s'Vz
swag	sw'ag
swagg	sw'ag
swallow	sw'0loU
swallowed	sw'0loUd
swallowing	sw'0loUIN
swallows	sw'0loUz
swam	sw'am
swap	sw'0p
swat	sw'0t
swave	sw'0v
swaying	sw'eIIN
sweaet	sw'i:;I2t
swear	sw'e@
sweari	sw'e@r-i
swearin	sw'e@r-In
swearing	sw'e@r-IN
swears	sw'e@z
sweat	sw'Et
sweater	sw'Et3
sweaterr	sw'Ete@
sweats	sw'Ets
sweaty	sw'Eti
sweden	sw'i:d@n
swedish	sw'i:dI2S
sweep	sw'i:p
sweeper	sw'i:p3
sweeping	sw'i:pIN
sweet	sw'i:t
sweetampnice	sw'i:tampnI2s
sweetcorn	sw'i:tkO@n
sweetener	sw'i:t@n3
sweeter	sw'i:t3
sweetest	sw'i:t@st
sweetie	sw'i:ti
sweetiee	sw'i:tI
sweetiepie	sw'i:tIp,aI
sweetner	sw'i:tn3
sweetness	sw'i:tn@s
sweets	sw'i:ts
sweety	sw'i:ti
swift	sw'Ift
swiftr	sw'Ift3
swim	sw'Im
swiming	sw'aImIN
swimmer	sw'Im3
swimming	sw'ImIN
swindoll	sw'Ind0l
swine	sw'aIn
swing	sw'IN
swinging	sw'INI2N
swings	sw'INz
swirl	sw'3:l
swirls	sw'3:lz
swisher	sw'IS3
swiss	sw'Is
switch	sw'ItS
swllww	,Esd,Vb@Lj,u:'El,Eld,Vb@Lj,u:d'Vb@Lj,u:
swollen	sw'oUl@n
sworn	sw'o@n
swv	,Esd,Vb@Lj,u:v'i:
sx	,Es'Eks
sxi	,Es,Eks'aI
sxr	,Es,Eks'A@
sxy	,Es,Eksw'aI
syco	s'IkoU
sydney	s'IdnI
sydny	s'Idni
syiuff	s'I;I;,Vf
symptoms	s'Impt@mz
symtoms	s'Imt@mz
synchronized	s'Inkr@n,aIzd
synonym	s'In@n,Im
syrup	s'IrVp
system	s'Ist@m
systemtherefore	s'Ist@mT,ErI2f,o@
sz	,Esz'Ed
szz	,Esz,Edz'Ed
t	t'i:
ta	t'A:
taa	t'A:
taall	t'A:l
tab	t'ab
tabbacco	tab'akoU
tabbi	t'abi
tabi	t'abaI
tabiahh	t'abI;,A:
tabigale	t'abIg,eIl
tabii	t'abI;,aI
tabilicious	t,abIl'IS@s
tabilou	t'abIl,u:
tabir	t'abi@3
tabis	t'abIs
tabitha	tab'IT@
tabithaa	t'abIT,A:
table	t'eIb@L
tableampchairs	t'eIbli:mptS,e@z
tables	t'eIb@Lz
tack	t'ak
tackled	t'ak@Ld
tackles	t'ak@Lz
tacori	tak'O@ri
tacos	t'A:koUz
tactic	t'aktIk
tad	t'ad
tadd	t'ad
taekwondo	ti:kw'VndoU
taelin	t'eIlIn
tag	t'ag
tagalog	t'aga#l,0g
tagged	t'agd
tagle	t'ag@L
tah	t'A:
taht	t'A:t
tahts	t'A:ts
tail	t'eIl
taime	t'eIm
tainting	t'eIntIN
taio	t'eIoU
tais	t'aIz
take	t'eIk
takee	t'aki:
taken	t'eIk@n
takenn	t'eIk@n
taker	t'eIk3
takes	t'eIks
takin	t'akIn
taking	t'eIkIN
talent	t'al@nt
talented	t'al@ntI2d
talents	t'al@nts
tales	t'eIlz
talk	t'O:k
talkative	t'O:k@t,Iv
talkativebecause	t'O:k@t,IvI2b,EkO:z
talked	t'O:kt
talkedchilled	t'O:kI2dtS,Ild
talkedin	t'O:kI2d,In
talken	t'O:k@n
talker	t'O:k3
talkers	t'O:k3z
talkin	t'O:kIn
talkinbto	tO:k'InbtoU
talking	t'O:kIN
talkingits	t'O:kINg,Its
talkk	t'O:k
talklol	t'O:kl0l
talkn	t'O:k@n
talkquot	t'O:kkw0t
talks	t'O:ks
tall	t'O:l
talldarkanddropdeadgorgeousorshyreservedshortandcute	t,O:ldA@k,andr@pdI2dg'o@dZ@s,o@SIr,Es@v,EdSO@t,andkju:t
taller	t'O:l3
tallershorter	t'O:l3S,O@t3
tally	t'alI
tamales	t'ameIlz
tambourine	t'amb@r-,i:n
tamed	t'eImd
tampon	t'amp0n
tampons	t'amp0nz
tamponspregnancy	t'amp@nspr,Egn@nsi
tams	t'amz
tan	t'an
tank	t'aNk
tanks	t'aNks
tann	t'an
tanned	t'and
tanning	t'anIN
tanya	t'anj@
tap	t'ap
tapas	t'A:p@z
tape	t'eIp
tapeworm	t'eIpw3:m
tapia	t'eIpi;@
taplin	t'aplIn
tapped	t'apt
tapping	t'apIN
taps	t'aps
taquisha	takw'IS@
tardy	t'A@di
target	t'A@gI2t
tarmigan	t'A@mIg@n
tarrant	t'ar@nt
tarren	t'ar@n
tarzan	t'A@z@n
tasha	t'aS@
task	t'aask
tasste	t'ast
taste	t'eIst
tasted	t'eIstI2d
tasteful	t'eIstf@L
tastejust	t'eIstdZVst
tasteless	t'eIstl@s
tastes	t'eIsts
tasting	t'eIstIN
tasty	t'eIsti
taters	t'eIt3z
tathered	t'aD3d
tats	t'ats
tatto	t'atoU
tattoo	tat'u:
tattooed	tat'u:d
tattooist	t'atu:,Ist
tattoos	tat'u:z
tattos	t'atoUz
tatum	t'A:t@m
tatumhaha	t'A:t@mh'A:h@
taught	t'O:t
tawk	t'O:k
tawking	t'O:kIN
tax	t'aks
taxaion	t'akseI@n
taxation	taks'eIS@n
taxed	t'akst
taxes	t'aksI2z
taxi	t'aksi
tay	t'eI
tayler	t'eIl3
taylor	t'eIl3
taz	t'az
tbh	t,i:b,i:;'eItS
tcell	t'i:s'El
tday	t'i:d'eI
te	t'i:
tea	t'i:
teaachgee	t'i:;a#tSdZ,i:
teach	t'i:tS
teacher	t'i:tS3
teacherboss	t'i:tS3b,0s
teachers	t'i:tS3z
teachin	t'i:tSIn
teaching	t'i:tSIN
teal	t'i:l
team	t'i:m
teaming	t'i:mIN
teamr	t'i:m3
teams	t'i:mz
tear	t'i@3
tearn	t'i@3n
tears	t'i@3z
teary	t'i@3r-i
tease	t'i:z
teased	t'i:zd
tebak	t'Ebak
tec	t'Ek
tech	t'Ek
technically	t'EknIkli
techno	t'EknoU
technologies	tEkn'0l@dZIz
technology	tEkn'0l@dZi
techs	t'Eks
teddy	t'Edi
teddys	t'EdIz
tee	t'i:
teeannuhh	t'i:;a#n,u:
teef	t'i:f
teehee	t'i:hi:
teeheehee	t'i:hi:h,i:
teell	t'i:l
teen	t'i:n
teenage	t'i:neIdZ
teenager	t'i:neIdZ3
teens	t'i:nz
tees	t'i:z
teetee	t'i:ti:
teeth	t'i:T
teew	t'i:w
teh	t'eI
tehehehehe	t'EhI2h,EhEh
tekken	t'Ek@n
telecom	t'ElI2k,0m
telemarketer	t'ElI2m,A@ki:t3
telepathically	t,ElI2p'aTIkli
telephone	t'ElI2f,oUn
teletubbies	t'ElI2t,VbIz
television	t'ElI2v,IZ@n
tell	t'El
tellen	t'El@n
teller	t'El3
tellin	t'ElIn
telling	t'ElIN
tells	t'Elz
telly	t'Eli
telsa	t'Els@
telstra	t'Elstr@
temp	t'Emp
tempah	t'Emp@
tempele	t'EmpEl
temper	t'Emp3
temperance	t'Emp3r@ns
temperature	t'EmprI2tS3
temple	t'Emp@L
tempo	t'EmpoU
temporary	t'Empr@r,I
temptations	tEmpt'eIS@nz
ten	t'En
tend	t'End
tendencey	t'End@nsI
tends	t'Endz
tener	t'En3
tengo	t'ENgoU
tennesee	t'EnI2s,i:
tennis	t'EnI2s
tension	t'EnS@n
tequila	t@k'i:l@
term	t'3:m
terminally	t'3:mIn@Li
terminando	t,3:mIn'andoU
termintes	t'3:mInts
terms	t'3:mz
terriably	t'ErI2;@bli
terrible	t'Er@b@L
terriblequot	t'ErIb@Lkw,0t
terribly	t'Er@blI
terrified	t'ErI2f,aId
terrifying	t'ErI2f,aIIN
territory	t'ErIt@r,i
terror	t'Er3
terrorist	t'Er3r-,Ist
terrorists	t'Er3r-,Ists
test	t'Est
tested	t'EstI2d
testical	t'EstIk@L
testicals	t'EstIk@Lz
testicled	t'EstIk@Ld
testing	t'EstIN
testr	t'Est3
tests	t'Ests
teton	t'Et@n
tew	tj'u:
teww	tj'u:w@
tex	t'Eks
texans	t'Eks@nz
texanslow	t'Eksa#nsl,oU
texas	t'Eks@s
texasampyuh	t'Eksa#s,ampI;,V
text	t'Ekst
textbook	t'EkstbUk
texted	t'EkstI2d
texter	t'Ekst3
textin	t'EkstIn
texting	t'EkstIN
textingg	t'EkstINg
textinqq	t'EkstInk
texts	t'Eksts
textt	t'Ekst
texttr	t'Ekst3
texture	t'EkstS3
tghat	t'i:g'at
tgi	t,i:dZ,i:;'aI
th	t,i:;'eItS
tha	T'A:
thaa	T'A:
thaankss	T'A:Nks
thaat	T'A:t
thaatts	T'A:ts
thad	T'ad
thads	T'adz
thagt	T'agt
thai	t'aI
thaits	t'aIts
thaks	T'aks
thakss	T'aks
than	D'a#n
thang	T'aN
thank	T'aNk
thankful	T'aNkf@L
thankfully	T'aNkf@lI
thankies	T'aNkiz
thanking	T'aNkIN
thankk	T'aNkk
thankks	T'aNkks
thanks	T'aNks
thanksgiving	T'aNksgIvIN
thanksquot	T'aNkskw0t
thankss	T'aNks
thankyou	T'aNkI;,u:
thankyouh	T'aNkI;,aU
thankyouu	T'aNkI;,aUu:
thankyouverymuch	T'aNkI;,u:v3r-,ImVtS
thankyuhheyy	T'aNkju:h,aIi
thankz	T'aNkz
thanlyou	T'anlI;,u:
thann	T'an
thanng	T'anN
thanother	T'anVD3
thanx	T'aNks
thanxx	T'aNks
thass	T'as
that	D'at
thataposd	T'ata#p,0sd
thataposll	T'ata#p,0sl@L
thataposs	T'ata#p,0s
thatat	T'atat
thatd	T'atd
thathaha	TaT'A:h@
thathahah	T'aTah@
thathurt	T'aT3:t
thati	T'ati
thatjust	T'atdZVst
thatll	T'atl@L
thatlol	T'atl0l
thatquot	T'atkw0t
thatr	T'at3
thats	D'ats
thatsbad	T'atsbad
thatshouldbemeoverboard	T'atSUdb,EmoUv@b,o@d
thatss	T'ats
thatt	T'at
thatus	T'at@s
thatwouldnapost	T'atwUdn,ap0st
thatz	T'ats
the	D'@
theater	T'i@t3
theaters	T'i@t3z
theatersshutter	T'i@t3sS,Vt3
theatre	T'i@t3
theatres	T'i@t3z
thecatiives	T'Eka#t,I;Ivz
thee	D'i:
theft	T'Eft
theif	T'eIf
theillumanati	T,eIlu:ma#n'A:ti
their	D'e@
theirs	D'e@z
thell	T'El
them	D'Em
theme	T'i:m
themjust	DEmdZ'Vst
themm	DEm'@m
themnot	DEmn'0t
themquot	DEmkw'0t
themself	DEms'Elf
themselves	DEms'Elvz
themtheres	DEmD'3z
themu	T'i:mu:
themud	T'i:mVd
then	D'En
thenhmm	T'Enhm
thenn	T'En
thenquot	T'Enkw0t
theodore	T'i:;@d,o@
theories	T'i@rIz
theory	T'i@ri
ther	D'3
therapist	T'Er@p,Ist
therapy	T'Er@pi
there	D'e@
thereand	De@r-'and
thereaposs	De@r-'ap0s
theree	De@r-'E
